Timer,AX,AY,AZ,GX,GY,GZ,A
"60","-1","0","-24","2","1","1","84.25"
"60","-3","0","-25","2","1","1","84.25"
"60","-3","0","-25","2","2","1","84.25"
"60","-3","0","-25","2","2","1","84.25"
"61","-3","0","-25","3","0","1","84.25"
"61","0","0","-24","3","0","1","84.25"
"61","0","0","-24","2","-2","1","84.25"
"61","0","0","-25","2","-2","1","84.25"
"61","0","0","-25","0","-2","1","84.25"
"61","-4","-1","-25","0","-2","1","84.25"
"61","-4","-1","-25","-1","3","1","84.25"
"61","0","0","-20","-1","3","1","84.25"
"61","0","0","-20","1","1","1","84.25"
"61","0","0","-20","1","1","1","84.25"
"62","0","0","-20","2","-1","1","84.25"
"62","0","0","-23","2","-1","1","84.25"
"62","0","0","-23","5","0","1","84.25"
"62","0","0","-23","5","0","1","84.25"
"62","0","0","-23","0","0","1","84.25"
"62","2","1","-25","0","0","1","84.25"
"62","2","1","-25","-1","1","1","84.25"
"62","1","-2","-23","-1","1","1","84.25"
"62","1","-2","-23","3","-1","1","84.25"
"63","1","-2","-23","3","-1","1","84.25"
"63","1","-2","-23","3","0","1","84.25"
"63","-2","0","-24","3","0","1","84.25"
"63","-2","0","-24","0","0","1","84.25"
"63","0","0","-25","0","0","1","84.25"
"63","0","0","-25","3","1","1","84.25"
"63","0","1","-23","3","1","1","84.25"
"63","0","1","-23","-2","0","1","84.25"
"63","-2","0","-25","-2","0","1","84.25"
"64","-2","0","-25","0","1","1","84.25"
"64","-2","0","-25","0","1","1","84.25"
"64","-2","0","-25","1","-1","1","84.25"
"64","0","0","-22","1","-1","1","84.25"
"64","0","0","-22","2","0","1","84.25"
"64","0","0","-22","2","0","1","84.25"
"64","0","0","-22","4","0","1","84.25"
"64","-1","2","-26","4","0","1","84.25"
"64","-1","2","-26","0","0","1","84.25"
"64","-2","-1","-24","0","0","1","84.25"
"64","-2","-1","-24","2","0","1","84.25"
"64","-2","-1","-24","2","0","1","84.25"
"65","-2","-1","-24","1","-3","1","84.25"
"65","0","2","-25","1","-3","1","84.25"
"65","0","2","-25","-1","0","1","84.25"
"65","-1","1","-28","-1","0","1","84.25"
"65","-1","1","-28","2","1","1","84.25"
"65","-2","0","-23","2","1","1","84.25"
"65","-2","0","-23","3","-4","1","84.25"
"65","0","0","-24","3","-4","1","84.25"
"65","0","0","-24","1","0","1","84.25"
"65","0","0","-24","1","0","1","84.25"
"65","0","0","-24","-1","-2","1","84.25"
"66","-1","1","-24","-1","-2","1","84.25"
"66","-1","1","-24","-1","0","1","84.25"
"66","-1","1","-24","-1","0","1","84.25"
"66","-1","1","-24","-1","2","1","84.25"
"66","0","-1","-26","-1","2","1","84.25"
"66","0","-1","-26","1","-1","1","84.25"
"66","0","-1","-23","1","-1","1","84.25"
"66","0","-1","-23","-5","0","1","84.25"
"66","0","-1","-23","-5","0","1","84.25"
"66","0","-1","-23","0","-1","1","84.25"
"66","-2","0","-25","0","-1","1","84.25"
"66","-2","0","-25","-1","1","1","84.25"
"67","0","-1","-26","-1","1","1","84.25"
"67","0","-1","-26","-1","0","1","84.25"
"67","1","1","-23","-1","0","1","84.25"
"67","1","1","-23","-6","-1","1","84.25"
"67","0","1","-24","-6","-1","1","84.25"
"67","0","1","-24","1","3","1","84.25"
"67","0","1","-24","1","3","1","84.25"
"67","0","1","-24","1","0","1","84.25"
"67","0","0","-21","1","0","1","84.25"
"67","0","0","-21","-1","-1","1","84.25"
"67","0","0","-21","-1","-1","1","84.25"
"67","0","0","-21","-3","1","1","84.25"
"68","0","0","-25","-3","1","1","84.25"
"68","0","0","-25","-2","2","1","84.25"
"68","0","0","-24","-2","2","1","84.25"
"68","0","0","-24","-2","1","1","84.25"
"68","0","0","-24","-2","1","1","84.25"
"68","0","0","-24","-1","0","1","84.25"
"68","0","-1","-23","-1","0","1","84.25"
"68","0","-1","-23","-1","3","1","84.25"
"68","-1","0","-25","-1","3","1","84.25"
"68","-1","0","-25","2","0","1","84.25"
"68","0","3","-26","2","0","1","84.25"
"68","0","3","-26","0","-1","1","84.25"
"69","-256","0","-24","0","-1","1","84.25"
"69","-256","0","-24","-2","0","1","84.25"
"69","-1","0","-24","-2","0","1","84.25"
"69","-1","0","-24","2","-4","1","84.25"
"69","0","0","-23","2","-4","1","84.25"
"69","0","0","-23","2","1","1","84.25"
"69","0","0","-23","2","1","1","84.25"
"69","0","0","-23","-3","-1","1","84.25"
"69","0","0","-26","-3","-1","1","84.25"
"69","0","0","-26","0","0","1","84.25"
"69","-2","-1","-23","0","0","1","84.25"
"70","-2","-1","-23","-1","1","1","84.25"
"70","-2","-1","-23","-1","1","1","84.25"
"70","-2","-1","-23","-1","-1","1","84.25"
"70","0","0","-24","-1","-1","1","84.25"
"70","0","0","-24","-2","0","1","84.25"
"70","0","1","-24","-2","0","1","84.25"
"70","0","1","-24","-2","0","1","84.25"
"70","-2","0","-27","-2","0","1","84.25"
"70","-2","0","-27","-2","-1","1","84.25"
"70","-1","1","-24","-2","-1","1","84.25"
"70","-1","1","-24","1","1","1","84.25"
"70","-3","-1","-25","1","1","1","84.25"
"71","-3","-1","-25","1","1","1","84.25"
"71","3","0","-25","1","1","1","84.25"
"71","3","0","-25","1","-2","1","84.25"
"71","1","1","-25","1","-2","1","84.25"
"71","1","1","-25","1","-3","1","84.25"
"71","-4","-1","-25","1","-3","1","84.25"
"71","-4","-1","-25","0","-1","1","84.25"
"71","-1","1","-25","0","-1","1","84.25"
"71","-1","1","-25","-2","-1","1","84.25"
"71","2","0","-25","-2","-1","1","84.25"
"71","2","0","-25","-2","-2","1","84.25"
"71","-1","0","-25","-2","-2","1","84.25"
"72","-1","0","-25","-2","-3","1","84.25"
"72","-1","0","-24","-2","-3","1","84.25"
"72","-1","0","-24","-2","1","1","84.25"
"72","-1","0","-25","-2","1","1","84.25"
"72","-1","0","-25","-4","1","1","84.25"
"72","1","3","-21","-4","1","1","84.25"
"72","1","3","-21","-4","-2","1","84.25"
"72","0","0","-23","-4","-2","1","84.25"
"72","0","0","-23","3","0","1","84.25"
"72","-2","0","-27","3","0","1","84.25"
"72","-2","0","-27","0","1","1","84.25"
"72","-1","-2","-22","0","1","1","84.25"
"73","-1","-2","-22","-1","3","1","84.25"
"73","0","0","-24","-1","3","1","84.25"
"73","0","0","-24","-4","3","1","84.25"
"73","0","0","-24","-4","3","1","84.25"
"73","0","0","-24","0","-1","1","84.25"
"73","-1","-2","-26","0","-1","1","84.25"
"73","-1","-2","-26","2","1","1","84.25"
"73","-2","-1","-24","2","1","1","84.25"
"73","-2","-1","-24","0","0","1","84.25"
"73","0","0","-22","0","0","1","84.25"
"73","0","0","-22","-2","-1","1","84.25"
"73","0","0","-23","-2","-1","1","84.25"
"74","0","0","-23","-1","-1","1","84.25"
"74","-2","0","-25","-1","-1","1","84.25"
"74","-2","0","-25","1","0","1","84.25"
"74","-2","0","-22","1","0","1","84.25"
"74","-2","0","-22","0","-1","1","84.25"
"74","-1","0","-25","0","-1","1","84.25"
"74","-1","0","-25","2","3","1","84.25"
"74","2","1","-24","2","3","1","84.25"
"74","2","1","-24","2","-2","1","84.25"
"74","-1","0","-23","2","-2","1","84.25"
"74","-1","0","-23","0","1","1","84.25"
"75","-2","0","-25","0","1","1","84.25"
"75","-2","0","-25","2","2","1","84.25"
"75","0","0","-25","2","2","1","84.25"
"75","0","0","-25","-3","0","1","84.25"
"75","0","0","-21","-3","0","1","84.25"
"75","0","0","-21","2","-1","1","84.25"
"75","0","0","-24","2","-1","1","84.25"
"75","0","0","-24","0","-2","1","84.25"
"75","-2","0","-25","0","-2","1","84.25"
"75","-2","0","-25","4","0","1","84.25"
"75","0","0","-22","4","0","1","84.25"
"75","0","0","-22","0","2","1","84.25"
"76","0","0","-26","0","2","1","84.25"
"76","0","0","-26","-4","-1","1","84.25"
"76","0","0","-20","-4","-1","1","84.25"
"76","0","0","-20","-5","-1","1","84.25"
"76","-1","0","-26","-5","-1","1","84.25"
"76","-1","0","-26","0","-1","1","84.25"
"76","0","0","-27","0","-1","1","84.25"
"76","0","0","-27","2","2","1","84.25"
"76","-1","0","-23","2","2","1","84.25"
"76","-1","0","-23","1","0","1","84.25"
"76","-2","0","-21","1","0","1","84.25"
"76","-2","0","-21","-1","0","1","84.25"
"77","-3","0","-25","-1","0","1","84.25"
"77","-3","0","-25","-1","0","1","84.25"
"77","-1","0","-24","-1","0","1","84.25"
"77","-1","0","-24","0","1","1","84.25"
"77","-2","-1","-25","0","1","1","84.25"
"77","-2","-1","-25","3","-2","1","84.25"
"77","0","0","-24","3","-2","1","84.25"
"77","0","0","-24","0","-1","1","84.25"
"77","-1","0","-26","0","-1","1","84.25"
"77","-1","0","-26","-1","-2","1","84.25"
"77","0","-1","-23","-1","-2","1","84.25"
"78","0","-1","-23","-3","-2","1","84.25"
"78","-1","0","-26","-3","-2","1","84.25"
"78","-1","0","-26","1","-3","1","84.25"
"78","-4","0","-25","1","-3","1","84.25"
"78","-4","0","-25","2","0","1","84.25"
"78","0","0","-25","2","0","1","84.25"
"78","0","0","-25","2","0","1","84.25"
"78","3","0","-25","2","0","1","84.25"
"78","3","0","-25","-2","1","1","84.25"
"78","0","0","-26","-2","1","1","84.25"
"78","0","0","-26","0","0","1","84.25"
"79","-3","0","-21","0","0","1","84.25"
"79","-3","0","-21","-1","-2","1","84.25"
"79","0","0","-23","-1","-2","1","84.25"
"79","0","0","-23","-1","1","1","84.25"
"79","0","0","-24","-1","1","1","84.25"
"79","0","0","-24","-3","1","1","84.25"
"79","-1","1","-24","-3","1","1","84.25"
"79","-1","1","-24","-2","1","1","84.25"
"79","-3","-1","-24","-2","1","1","84.25"
"79","-3","-1","-24","1","4","1","84.25"
"79","1","1","-23","1","4","1","84.25"
"80","1","1","-23","2","-1","1","84.25"
"80","0","0","-25","2","-1","1","84.25"
"80","0","0","-25","3","2","1","84.25"
"80","-1","2","-25","3","2","1","84.25"
"80","-1","2","-25","1","0","1","84.25"
"80","0","0","-25","1","0","1","84.25"
"80","0","0","-25","2","0","1","84.25"
"80","2","1","-22","2","0","1","84.25"
"80","2","1","-22","1","2","1","84.25"
"80","0","1","-22","1","2","1","84.25"
"80","0","1","-22","1","1","1","84.25"
"80","0","0","-25","1","1","1","84.25"
"81","0","0","-25","3","-1","1","84.25"
"81","-3","0","-25","3","-1","1","84.25"
"81","-3","0","-25","0","2","1","84.25"
"81","-1","-1","-19","0","2","1","84.25"
"81","-1","-1","-19","1","-2","1","84.25"
"81","0","0","-23","1","-2","1","84.25"
"81","0","0","-23","1","-1","1","84.25"
"81","0","1","-25","1","-1","1","84.25"
"81","0","1","-25","0","-1","1","84.25"
"81","-3","-1","-28","0","-1","1","84.25"
"81","-3","-1","-28","-2","0","1","84.25"
"81","0","-2","-25","-2","0","1","84.25"
"82","0","-2","-25","-3","1","1","84.25"
"82","1","0","-23","-3","1","1","84.25"
"82","1","0","-23","-1","1","1","84.25"
"82","-1","1","-24","-1","1","1","84.25"
"82","-1","1","-24","-4","2","1","84.25"
"82","-2","-1","-25","-4","2","1","84.25"
"82","-2","-1","-25","-4","-1","1","84.25"
"82","-3","-2","-26","-4","-1","1","84.25"
"82","-3","-2","-26","-3","-1","1","84.25"
"82","0","0","-23","-3","-1","1","84.25"
"82","0","0","-23","-2","-3","1","84.25"
"83","0","0","-22","-2","-3","1","84.25"
"83","0","0","-22","-2","-1","1","84.25"
"83","0","-2","-26","-2","-1","1","84.25"
"83","0","-2","-26","-2","2","1","84.25"
"83","-1","0","-25","-2","2","1","84.25"
"83","-1","0","-25","-1","2","1","84.25"
"83","1","0","-23","-1","2","1","84.25"
"83","1","0","-23","0","1","1","84.25"
"83","0","0","-24","0","1","1","84.25"
"83","0","0","-24","-2","0","1","84.25"
"83","0","0","-25","-2","0","1","84.25"
"84","0","0","-25","2","-3","1","84.25"
"84","0","0","-22","2","-3","1","84.25"
"84","0","0","-22","0","-2","1","84.25"
