Timer,X,Y,Z
"973","3567","2513","4380"
"973","3567","2513","4380"
"973","3567","2513","4380"
"1030","3598","2445","4435"
"1030","3598","2445","4435"
"1030","3598","2445","4435"
"1030","3598","2445","4435"
"1030","3598","2445","4435"
"1030","3598","2445","4435"
"1091","3591","2510","4376"
"1091","3591","2510","4376"
"1091","3591","2510","4376"
"1091","3591","2510","4376"
"1091","3591","2510","4376"
"1091","3591","2510","4376"
"1153","3580","2513","4433"
"1153","3580","2513","4433"
"1153","3580","2513","4433"
"1153","3580","2513","4433"
"1153","3580","2513","4433"
"1153","3580","2513","4433"
"1210","3557","2513","4401"
"1210","3557","2513","4401"
"1210","3557","2513","4401"
"1210","3557","2513","4401"
"1210","3557","2513","4401"
"1210","3557","2513","4401"
"1272","3591","2491","4403"
"1272","3591","2491","4403"
"1272","3591","2491","4403"
"1272","3591","2491","4403"
"1272","3591","2491","4403"
"1272","3591","2491","4403"
"1333","3591","2463","4441"
"1333","3591","2463","4441"
"1333","3591","2463","4441"
"1333","3591","2463","4441"
"1333","3591","2463","4441"
"1333","3591","2463","4441"
"1391","3560","2478","4437"
"1391","3560","2478","4437"
"1391","3560","2478","4437"
"1391","3560","2478","4437"
"1391","3560","2478","4437"
"1391","3560","2478","4437"
"1452","3592","2487","4435"
"1452","3592","2487","4435"
"1452","3592","2487","4435"
"1452","3592","2487","4435"
"1452","3592","2487","4435"
"1452","3592","2487","4435"
"1513","3574","2457","4433"
"1513","3574","2457","4433"
"1513","3574","2457","4433"
"1513","3574","2457","4433"
"1513","3574","2457","4433"
"1513","3574","2457","4433"
"1567","3702","2451","-311"
"1567","3702","2451","-311"
"1567","3702","2451","-311"
"1567","3702","2451","-311"
"1567","3702","2451","-311"
"1567","3702","2451","-311"
"1628","3569","2502","4414"
"1628","3569","2502","4414"
"1628","3569","2502","4414"
"1628","3569","2502","4414"
"1628","3569","2502","4414"
"1628","3569","2502","4414"
"1690","3584","2477","4430"
"1690","3584","2477","4430"
"1690","3584","2477","4430"
"1690","3584","2477","4430"
"1690","3584","2477","4430"
"1690","3584","2477","4430"
"1751","3590","2465","4450"
"1751","3590","2465","4450"
"1751","3590","2465","4450"
"1751","3590","2465","4450"
"1751","3590","2465","4450"
"1751","3590","2465","4450"
"1812","3561","2488","4439"
"1812","3561","2488","4439"
"1812","3561","2488","4439"
"1812","3561","2488","4439"
"1812","3561","2488","4439"
"1812","3561","2488","4439"
"1870","3576","2504","4481"
"1870","3576","2504","4481"
"1870","3576","2504","4481"
"1870","3576","2504","4481"
"1870","3576","2504","4481"
"1870","3576","2504","4481"
"1931","3577","2499","4365"
"1931","3577","2499","4365"
"1931","3577","2499","4365"
"1931","3577","2499","4365"
"1931","3577","2499","4365"
"1931","3577","2499","4365"
"1992","3583","2475","4432"
"1992","3583","2475","4432"
"1992","3583","2475","4432"
"1992","3583","2475","4432"
"1992","3583","2475","4432"
"1992","3583","2475","4432"
"2050","3576","2498","4439"
"2050","3576","2498","4439"
"2050","3576","2498","4439"
"2050","3576","2498","4439"
"2050","3576","2498","4439"
"2050","3576","2498","4439"
"2111","3606","2454","4433"
"2111","3606","2454","4433"
"2111","3606","2454","4433"
"2111","3606","2454","4433"
"2111","3606","2454","4433"
"2111","3606","2454","4433"
"2173","3595","2474","4441"
"2173","3595","2474","4441"
"2173","3595","2474","4441"
"2173","3595","2474","4441"
"2173","3595","2474","4441"
"2173","3595","2474","4441"
"2230","3573","2457","4449"
"2230","3573","2457","4449"
"2230","3573","2457","4449"
"2230","3573","2457","4449"
"2230","3573","2457","4449"
"2230","3573","2457","4449"
