Timer,X,Y,Z
"967","-6","1804","612"
"967","-6","1804","612"
"967","-6","1804","612"
"967","-6","1804","612"
"967","-6","1804","612"
"967","-6","1804","612"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1029","-42","1834","598"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1090","-31","1858","640"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1152","1","1840","584"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1213","-13","1833","573"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1270","-15","1817","607"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1332","-17","1849","629"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1393","37","1857","559"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1454","-23","1843","568"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1516","8","1817","577"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1577","-11","1814","564"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1639","36","1855","331"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1696","-19","1833","636"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1758","-109","1981","880"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1823","-29","1830","543"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1884","-34","1835","655"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"1946","-13","1805","581"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2008","16","1867","569"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2076","-55","1911","664"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2135","-7","1836","638"
"2192","-32","1828","625"
