Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0.000;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;1000;0;0;0
0.005;-0.02031;-0.00069;-0.31461;;-0.00005;0.00000;-0.00079;;0.00000;0.00000;0.00000;;1005;-2.069998986;-0.069999915;-32.06995382
0.005;-0.02031;-0.00069;-0.31461;;-0.00005;0.00000;-0.00079;;0.00000;0.00000;0.00000;;1005;-2.069999722;-0.069999979;-32.06998847
0.013;-0.02031;-0.05195;-0.38264;;-0.00021;-0.00021;-0.00358;;0.00000;0.00000;-0.00002;;1013;-2.069999918;-5.295352757;-39.00542467
0.014;-0.02031;-0.03578;-0.36154;;-0.00023;-0.00026;-0.00395;;0.00000;0.00000;-0.00002;;1014;-2.069999976;-3.646891876;-36.85470477
0.021;-0.02031;-0.01451;-0.23693;;-0.00038;-0.00043;-0.00604;;0.00000;0.00000;-0.00006;;1021;-2.069999993;-1.478895538;-24.15168223
0.025;-0.02031;-0.01880;-0.27227;;-0.00046;-0.00050;-0.00706;;-0.00001;-0.00001;-0.00008;;1025;-2.069999998;-1.916721085;-27.75477921
0.034;-0.02031;-0.01992;-0.40070;;-0.00064;-0.00067;-0.01009;;-0.00001;-0.00001;-0.00016;;1034;-2.069999999;-2.030253296;-40.84640052
0.034;-0.02031;-0.02021;-0.36638;;-0.00064;-0.00067;-0.01009;;-0.00001;-0.00001;-0.00016;;1034;-2.07;-2.059693295;-37.34727251
0.042;-0.02031;-0.02028;-0.35720;;-0.00080;-0.00083;-0.01298;;-0.00002;-0.00002;-0.00025;;1042;-2.07;-2.067327372;-36.41155952
0.042;-0.02031;-0.02030;-0.35474;;-0.00080;-0.00083;-0.01298;;-0.00002;-0.00002;-0.00025;;1042;-2.07;-2.069306962;-36.16133752
0.054;-0.02031;-0.02030;-0.28610;;-0.00105;-0.00108;-0.01683;;-0.00003;-0.00003;-0.00043;;1054;-2.07;-2.069820288;-29.16407764
0.054;-0.02031;-0.02031;-0.30698;;-0.00105;-0.00108;-0.01683;;-0.00003;-0.00003;-0.00043;;1054;-2.07;-2.069953399;-31.29291802
0.062;-0.02031;-0.02031;-0.34656;;-0.00121;-0.00124;-0.01944;;-0.00004;-0.00004;-0.00058;;1062;-2.07;-2.069987916;-35.32737163
0.062;-0.02031;-0.02031;-0.33753;;-0.00121;-0.00124;-0.01944;;-0.00004;-0.00004;-0.00058;;1062;-2.07;-2.069996866;-34.40623777
0.075;-0.00361;-0.03738;-0.31811;;-0.00136;-0.00162;-0.02370;;-0.00005;-0.00006;-0.00086;;1075;-0.368062727;-3.810689503;-32.42732761
0.075;-0.00844;-0.03200;-0.32273;;-0.00136;-0.00162;-0.02370;;-0.00005;-0.00006;-0.00086;;1075;-0.860778662;-3.262067961;-32.89814092
0.083;-0.00988;0.00355;-0.32397;;-0.00144;-0.00173;-0.02629;;-0.00006;-0.00007;-0.00106;;1083;-1.007638918;0.361575548;-33.02404262
0.083;-0.01031;-0.00686;-0.32430;;-0.00144;-0.00173;-0.02629;;-0.00006;-0.00007;-0.00106;;1083;-1.051412486;-0.698778596;-33.05771039
0.091;-0.01044;-0.00955;-0.32438;;-0.00152;-0.00180;-0.02889;;-0.00008;-0.00008;-0.00128;;1091;-1.064459755;-0.973738695;-33.0667136
0.091;-0.01048;-0.01025;-0.32441;;-0.00152;-0.00180;-0.02889;;-0.00008;-0.00008;-0.00128;;1091;-1.068348659;-1.045038511;-33.06912117
0.103;-0.01049;-0.02751;-0.30742;;-0.00165;-0.00202;-0.03268;;-0.00009;-0.00011;-0.00165;;1103;-1.069507797;-2.804217559;-31.33717819
0.104;-0.01050;-0.02217;-0.31268;;-0.00166;-0.00205;-0.03299;;-0.00010;-0.00011;-0.00168;;1104;-1.069853293;-2.260389724;-31.87403378
