Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;;;;
0.000;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;1000;0;0;0;;;;;;;;
0.003;0.00000;0.00000;-0.25506;;0.00000;0.00000;-0.00038;;0.00000;0.00000;0.00000;;1003;0;0;-26;;;;;;;;
0.012;0.00000;0.00000;-0.28449;;0.00000;0.00000;-0.00281;;0.00000;0.00000;-0.00001;;1012;0;0;-29;;;;;;;;
0.012;0.00000;0.00000;-0.28449;;0.00000;0.00000;-0.00281;;0.00000;0.00000;-0.00001;;1012;0;0;-29;;;;;;;;
0.020;-0.01962;0.00000;-0.27468;;-0.00008;0.00000;-0.00505;;0.00000;0.00000;-0.00005;;1020;-2;0;-28;;;;;;;;
0.024;-0.01962;0.00000;-0.27468;;-0.00016;0.00000;-0.00615;;0.00000;0.00000;-0.00007;;1024;-2;0;-28;;;;;;;;
0.032;-0.00981;0.02943;-0.27468;;-0.00027;0.00012;-0.00834;;0.00000;0.00000;-0.00013;;1032;-1;3;-28;;;;;;;;
0.032;-0.00981;0.02943;-0.27468;;-0.00027;0.00012;-0.00834;;0.00000;0.00000;-0.00013;;1032;-1;3;-28;;;;;;;;
0.040;-0.00981;0.02943;-0.27468;;-0.00035;0.00035;-0.01054;;-0.00001;0.00000;-0.00020;;1040;-1;3;-28;;;;;;;;
0.040;-0.00981;0.02943;-0.27468;;-0.00035;0.00035;-0.01054;;-0.00001;0.00000;-0.00020;;1040;-1;3;-28;;;;;;;;
0.053;-0.01962;0.00000;-0.29430;;-0.00054;0.00054;-0.01424;;-0.00001;0.00001;-0.00036;;1053;-2;0;-30;;;;;;;;
0.053;-0.01962;0.00000;-0.29430;;-0.00054;0.00054;-0.01424;;-0.00001;0.00001;-0.00036;;1053;-2;0;-30;;;;;;;;
0.061;0.00000;0.00981;-0.27468;;-0.00062;0.00058;-0.01652;;-0.00002;0.00001;-0.00049;;1061;0;1;-28;;;;;;;;
0.061;0.00000;0.00981;-0.27468;;-0.00062;0.00058;-0.01652;;-0.00002;0.00001;-0.00049;;1061;0;1;-28;;;;;;;;
0.073;0.00000;0.01962;-0.31392;;-0.00062;0.00076;-0.02005;;-0.00002;0.00002;-0.00071;;1073;0;2;-32;;;;;;;;
0.073;0.00000;0.01962;-0.31392;;-0.00062;0.00076;-0.02005;;-0.00002;0.00002;-0.00071;;1073;0;2;-32;;;;;;;;
0.081;-0.00981;0.00981;-0.28449;;-0.00066;0.00088;-0.02244;;-0.00003;0.00003;-0.00088;;1081;-1;1;-29;;;;;;;;
0.082;-0.00981;0.00981;-0.28449;;-0.00067;0.00089;-0.02272;;-0.00003;0.00003;-0.00090;;1082;-1;1;-29;;;;;;;;
0.089;-0.00981;0.00981;-0.28449;;-0.00074;0.00096;-0.02472;;-0.00003;0.00003;-0.00106;;1089;-1;1;-29;;;;;;;;
0.093;-0.00981;0.00981;-0.28449;;-0.00078;0.00100;-0.02585;;-0.00004;0.00004;-0.00117;;1093;-1;1;-29;;;;;;;;
0.102;-0.02943;0.00981;-0.29430;;-0.00096;0.00108;-0.02846;;-0.00004;0.00005;-0.00141;;1102;-3;1;-30;;;;;;;;
0.102;-0.02943;0.00981;-0.29430;;-0.00096;0.00108;-0.02846;;-0.00004;0.00005;-0.00141;;1102;-3;1;-30;;;;;;;;
0.110;-0.00981;0.01962;-0.31392;;-0.00111;0.00120;-0.03089;;-0.00005;0.00006;-0.00165;;1110;-1;2;-32;;;;;;;;
0.114;-0.00981;0.01962;-0.31392;;-0.00115;0.00128;-0.03215;;-0.00006;0.00006;-0.00177;;1114;-1;2;-32;;;;;;;;
0.122;-0.01962;0.00000;-0.26487;;-0.00127;0.00136;-0.03446;;-0.00007;0.00007;-0.00204;;1122;-2;0;-27;;;;;;;;
0.122;-0.01962;0.00000;-0.26487;;-0.00127;0.00136;-0.03446;;-0.00007;0.00007;-0.00204;;1122;-2;0;-27;;;;;;;;
0.130;-0.00981;0.01962;-0.31392;;-0.00139;0.00144;-0.03678;;-0.00008;0.00008;-0.00232;;1130;-1;2;-32;;;;;;;;
0.134;-0.00981;0.01962;-0.31392;;-0.00143;0.00152;-0.03803;;-0.00008;0.00009;-0.00247;;1134;-1;2;-32;;;;;;;;
0.139;-0.00981;0.01962;-0.31392;;-0.00148;0.00161;-0.03960;;-0.00009;0.00010;-0.00267;;1139;-1;2;-32;;;;;;;;
0.139;-0.00981;0.01962;-0.31392;;-0.00148;0.00161;-0.03960;;-0.00009;0.00010;-0.00267;;1139;-1;2;-32;;;;;;;;
0.151;0.00000;0.00000;-0.29430;;-0.00154;0.00173;-0.04325;;-0.00011;0.00012;-0.00317;;1151;0;0;-30;;;;;;;;
0.151;0.00000;0.00000;-0.29430;;-0.00154;0.00173;-0.04325;;-0.00011;0.00012;-0.00317;;1151;0;0;-30;;;;;;;;
0.163;0.00000;0.00981;-0.28449;;-0.00154;0.00179;-0.04673;;-0.00013;0.00014;-0.00371;;1163;0;1;-29;;;;;;;;
0.163;0.00000;0.00981;-0.28449;;-0.00154;0.00179;-0.04673;;-0.00013;0.00014;-0.00371;;1163;0;1;-29;;;;;;;;
0.171;-0.01962;0.00000;-0.30411;;-0.00161;0.00183;-0.04908;;-0.00014;0.00015;-0.00409;;1171;-2;0;-31;;;;;;;;
0.172;-0.01962;0.00000;-0.30411;;-0.00163;0.00183;-0.04938;;-0.00014;0.00016;-0.00414;;1172;-2;0;-31;;;;;;;;
0.183;-0.00981;0.00981;-0.27468;;-0.00180;0.00188;-0.05257;;-0.00016;0.00018;-0.00470;;1183;-1;1;-28;;;;;;;;
0.184;-0.00981;0.00981;-0.27468;;-0.00181;0.00189;-0.05284;;-0.00016;0.00018;-0.00475;;1184;-1;1;-28;;;;;;;;
0.192;-0.00981;0.00981;-0.27468;;-0.00188;0.00197;-0.05504;;-0.00018;0.00019;-0.00518;;1192;-1;1;-28;;;;;;;;
0.192;-0.00981;0.00981;-0.27468;;-0.00188;0.00197;-0.05504;;-0.00018;0.00019;-0.00518;;1192;-1;1;-28;;;;;;;;
0.200;-0.00981;0.00000;-0.28449;;-0.00196;0.00201;-0.05728;;-0.00019;0.00021;-0.00563;;1200;-1;0;-29;;;;;;;;
0.204;-0.00981;0.00000;-0.28449;;-0.00200;0.00201;-0.05841;;-0.00020;0.00022;-0.00586;;1204;-1;0;-29;;;;;;;;
0.212;-0.02943;0.02943;-0.27468;;-0.00216;0.00213;-0.06065;;-0.00022;0.00023;-0.00634;;1212;-3;3;-28;;;;;;;;
0.213;-0.02943;0.02943;-0.27468;;-0.00219;0.00216;-0.06093;;-0.00022;0.00024;-0.00640;;1213;-3;3;-28;;;;;;;;
0.221;-0.01962;0.00981;-0.31392;;-0.00238;0.00232;-0.06328;;-0.00024;0.00025;-0.00690;;1221;-2;1;-32;;;;;;;;
0.221;-0.01962;0.00981;-0.31392;;-0.00238;0.00232;-0.06328;;-0.00024;0.00025;-0.00690;;1221;-2;1;-32;;;;;;;;
0.233;-0.01962;0.01962;-0.29430;;-0.00262;0.00249;-0.06693;;-0.00027;0.00028;-0.00768;;1233;-2;2;-30;;;;;;;;
0.233;-0.01962;0.01962;-0.29430;;-0.00262;0.00249;-0.06693;;-0.00027;0.00028;-0.00768;;1233;-2;2;-30;;;;;;;;
0.237;-0.01962;0.01962;-0.29430;;-0.00270;0.00257;-0.06811;;-0.00028;0.00029;-0.00795;;1237;-2;2;-30;;;;;;;;
0.241;-0.01962;0.01962;-0.29430;;-0.00278;0.00265;-0.06928;;-0.00029;0.00030;-0.00822;;1241;-2;2;-30;;;;;;;;
0.253;-0.01962;0.00981;-0.26487;;-0.00301;0.00283;-0.07264;;-0.00032;0.00034;-0.00907;;1253;-2;1;-27;;;;;;;;
0.253;-0.01962;0.00981;-0.26487;;-0.00301;0.00283;-0.07264;;-0.00032;0.00034;-0.00907;;1253;-2;1;-27;;;;;;;;
0.262;-0.01962;0.00981;-0.27468;;-0.00319;0.00291;-0.07507;;-0.00035;0.00036;-0.00974;;1262;-2;1;-28;;;;;;;;
0.262;-0.01962;0.00981;-0.27468;;-0.00319;0.00291;-0.07507;;-0.00035;0.00036;-0.00974;;1262;-2;1;-28;;;;;;;;
0.274;-0.01962;0.00000;-0.26487;;-0.00342;0.00297;-0.07830;;-0.00039;0.00040;-0.01066;;1274;-2;0;-27;;;;;;;;
0.274;-0.01962;0.00000;-0.26487;;-0.00342;0.00297;-0.07830;;-0.00039;0.00040;-0.01066;;1274;-2;0;-27;;;;;;;;
0.282;-0.01962;0.01962;-0.28449;;-0.00358;0.00305;-0.08050;;-0.00042;0.00042;-0.01130;;1282;-2;2;-29;;;;;;;;
0.282;-0.01962;0.01962;-0.28449;;-0.00358;0.00305;-0.08050;;-0.00042;0.00042;-0.01130;;1282;-2;2;-29;;;;;;;;
0.290;-0.01962;0.03924;-0.28449;;-0.00374;0.00329;-0.08278;;-0.00045;0.00045;-0.01195;;1290;-2;4;-29;;;;;;;;
0.294;-0.01962;0.03924;-0.28449;;-0.00382;0.00344;-0.08391;;-0.00046;0.00046;-0.01228;;1294;-2;4;-29;;;;;;;;
0.302;-0.01962;0.00981;-0.27468;;-0.00397;0.00364;-0.08615;;-0.00049;0.00049;-0.01296;;1302;-2;1;-28;;;;;;;;
0.302;-0.01962;0.00981;-0.27468;;-0.00397;0.00364;-0.08615;;-0.00049;0.00049;-0.01296;;1302;-2;1;-28;;;;;;;;
0.310;-0.01962;0.00000;-0.29430;;-0.00413;0.00368;-0.08843;;-0.00053;0.00052;-0.01366;;1310;-2;0;-30;;;;;;;;
0.313;-0.01962;0.00000;-0.29430;;-0.00419;0.00368;-0.08931;;-0.00054;0.00053;-0.01393;;1313;-2;0;-30;;;;;;;;
0.322;-0.00981;0.00981;-0.26487;;-0.00432;0.00372;-0.09183;;-0.00058;0.00056;-0.01474;;1322;-1;1;-27;;;;;;;;
0.322;-0.00981;0.00981;-0.26487;;-0.00432;0.00372;-0.09183;;-0.00058;0.00056;-0.01474;;1322;-1;1;-27;;;;;;;;
0.330;-0.01962;0.04905;-0.28449;;-0.00444;0.00396;-0.09402;;-0.00061;0.00059;-0.01549;;1330;-2;5;-29;;;;;;;;
0.330;-0.01962;0.04905;-0.28449;;-0.00444;0.00396;-0.09402;;-0.00061;0.00059;-0.01549;;1330;-2;5;-29;;;;;;;;
0.338;-0.01962;0.04905;-0.28449;;-0.00460;0.00435;-0.09630;;-0.00065;0.00063;-0.01625;;1338;-2;5;-29;;;;;;;;
0.339;-0.01962;0.04905;-0.28449;;-0.00462;0.00440;-0.09658;;-0.00065;0.00063;-0.01634;;1339;-2;5;-29;;;;;;;;
0.351;-0.01962;0.00981;-0.28449;;-0.00485;0.00475;-0.10000;;-0.00071;0.00068;-0.01752;;1351;-2;1;-29;;;;;;;;
0.351;-0.01962;0.00981;-0.28449;;-0.00485;0.00475;-0.10000;;-0.00071;0.00068;-0.01752;;1351;-2;1;-29;;;;;;;;
0.363;-0.00981;0.00981;-0.29430;;-0.00503;0.00487;-0.10347;;-0.00077;0.00074;-0.01874;;1363;-1;1;-30;;;;;;;;
0.363;-0.00981;0.00981;-0.29430;;-0.00503;0.00487;-0.10347;;-0.00077;0.00074;-0.01874;;1363;-1;1;-30;;;;;;;;
0.371;-0.00981;0.00981;-0.28449;;-0.00511;0.00495;-0.10579;;-0.00081;0.00078;-0.01958;;1371;-1;1;-29;;;;;;;;
0.371;-0.00981;0.00981;-0.28449;;-0.00511;0.00495;-0.10579;;-0.00081;0.00078;-0.01958;;1371;-1;1;-29;;;;;;;;
0.379;-0.00981;0.00000;-0.27468;;-0.00518;0.00499;-0.10802;;-0.00085;0.00082;-0.02044;;1379;-1;0;-28;;;;;;;;
0.383;-0.00981;0.00000;-0.27468;;-0.00522;0.00499;-0.10912;;-0.00087;0.00084;-0.02087;;1383;-1;0;-28;;;;;;;;
0.387;-0.00981;0.00000;-0.27468;;-0.00526;0.00499;-0.11022;;-0.00089;0.00086;-0.02131;;1387;-1;0;-28;;;;;;;;
0.388;-0.00981;0.00000;-0.27468;;-0.00527;0.00499;-0.11049;;-0.00090;0.00087;-0.02142;;1388;-1;0;-28;;;;;;;;
0.400;-0.00981;0.03924;-0.29430;;-0.00539;0.00522;-0.11391;;-0.00096;0.00093;-0.02277;;1400;-1;4;-30;;;;;;;;
0.404;-0.00981;0.03924;-0.29430;;-0.00543;0.00538;-0.11509;;-0.00098;0.00095;-0.02322;;1404;-1;4;-30;;;;;;;;
0.412;-0.02943;0.02943;-0.29430;;-0.00559;0.00566;-0.11744;;-0.00103;0.00099;-0.02415;;1412;-3;3;-30;;;;;;;;
0.412;-0.02943;0.02943;-0.29430;;-0.00559;0.00566;-0.11744;;-0.00103;0.00099;-0.02415;;1412;-3;3;-30;;;;;;;;
0.420;-0.00981;0.00981;-0.29430;;-0.00574;0.00581;-0.11979;;-0.00107;0.00104;-0.02510;;1420;-1;1;-30;;;;;;;;
0.420;-0.00981;0.00981;-0.29430;;-0.00574;0.00581;-0.11979;;-0.00107;0.00104;-0.02510;;1420;-1;1;-30;;;;;;;;
0.432;0.00000;0.01962;-0.24525;;-0.00580;0.00599;-0.12303;;-0.00114;0.00111;-0.02656;;1432;0;2;-25;;;;;;;;
0.433;0.00000;0.01962;-0.24525;;-0.00580;0.00601;-0.12328;;-0.00115;0.00112;-0.02668;;1433;0;2;-25;;;;;;;;
0.437;0.00000;0.01962;-0.24525;;-0.00580;0.00609;-0.12426;;-0.00117;0.00114;-0.02718;;1437;0;2;-25;;;;;;;;
0.441;0.00000;0.01962;-0.24525;;-0.00580;0.00617;-0.12524;;-0.00119;0.00116;-0.02768;;1441;0;2;-25;;;;;;;;
0.453;-0.01962;0.00981;-0.25506;;-0.00592;0.00634;-0.12824;;-0.00127;0.00124;-0.02920;;1453;-2;1;-26;;;;;;;;
0.453;-0.01962;0.00981;-0.25506;;-0.00592;0.00634;-0.12824;;-0.00127;0.00124;-0.02920;;1453;-2;1;-26;;;;;;;;
0.461;-0.00981;0.01962;-0.30411;;-0.00604;0.00646;-0.13048;;-0.00131;0.00129;-0.03023;;1461;-1;2;-31;;;;;;;;
0.461;-0.00981;0.01962;-0.30411;;-0.00604;0.00646;-0.13048;;-0.00131;0.00129;-0.03023;;1461;-1;2;-31;;;;;;;;
