Timer,AX,AY,AZ,GX,GY,GZ
"1002","0","2","-30","0","0","0"
"1010","-1","2","-30","0","0","0"
"1010","-1","2","-30","0","-1","-2"
"1018","0","0","-32","0","-1","-2"
"1018","0","0","-32","-1","0","-1"
"1030","-1","1","-30","-1","0","-1"
"1031","-1","1","-30","-2","1","0"
"1039","-2","3","-29","-2","1","0"
"1039","-2","3","-29","0","-2","-1"
"1051","-1","3","-26","0","-2","-1"
"1051","-1","3","-26","2","0","1"
"1059","-4","2","-28","2","0","1"
"1059","-4","2","-28","-1","2","1"
"1067","-2","1","-30","-1","2","1"
"1071","-2","1","-30","-4","2","0"
"1080","-2","2","-29","-4","2","0"
"1080","-2","2","-29","1","-2","0"
"1088","-1","1","-27","1","-2","0"
"1092","-1","1","-27","2","1","-1"
"1100","0","0","-29","2","1","-1"
"1100","0","0","-29","0","0","0"
"1108","0","2","-27","0","0","0"
"1109","0","2","-27","2","-1","-1"
"1121","0","2","-31","2","-1","-1"
"1121","0","2","-31","-2","0","0"
"1129","-1","1","-31","-2","0","0"
"1129","-1","1","-31","1","0","1"
"1137","-2","0","-30","1","0","1"
"1141","-2","0","-30","-2","-1","1"
"1149","0","1","-29","-2","-1","1"
"1149","0","1","-29","-1","-1","1"
"1158","0","1","-28","-1","-1","1"
"1161","0","1","-28","-1","-2","1"
"1170","0","1","-30","-1","-2","1"
"1170","0","1","-30","-3","1","1"
"1178","-1","1","-27","-3","1","1"
"1178","-1","1","-27","0","0","1"
"1190","0","2","-26","0","0","1"
"1190","0","2","-26","1","-3","-1"
"1199","-3","2","-30","1","-3","-1"
"1199","-3","2","-30","-3","1","2"
"1211","-1","2","-33","-3","1","2"
"1211","-1","2","-33","-2","1","1"
"1219","-3","1","-31","-2","1","1"
"1219","-3","1","-31","-3","0","0"
"1227","-2","2","-30","-3","0","0"
"1231","-2","2","-30","0","2","1"
"1239","0","0","-29","0","2","1"
"1240","0","0","-29","0","-1","2"
"1248","-3","1","-28","0","-1","2"
"1252","-3","1","-28","2","-1","3"
"1260","0","2","-29","2","-1","3"
"1260","0","2","-29","2","1","1"
"1268","-2","1","-33","2","1","1"
"1268","-2","1","-33","-2","0","1"
"1280","-2","1","-27","-2","0","1"
"1281","-2","1","-27","-2","1","-1"
"1289","-1","2","-31","-2","1","-1"
"1289","-1","2","-31","0","0","0"
"1301","-1","3","-33","0","0","0"
"1301","-1","3","-33","-3","-2","-1"
"1309","0","0","-28","-3","-2","-1"
"1309","0","0","-28","-1","1","1"
"1317","-1","3","-29","-1","1","1"
"1321","-1","3","-29","-2","1","0"
"1330","-1","3","-31","-2","1","0"
"1330","-1","3","-31","-1","0","1"
"1338","1","1","-27","-1","0","1"
"1342","1","1","-27","2","0","-2"
"1350","-1","1","-28","2","0","-2"
"1350","-1","1","-28","-2","3","-1"
"1358","-1","2","-28","-2","3","-1"
"1358","-1","2","-28","-1","-1","0"
"1370","-2","3","-30","-1","-1","0"
"1371","-2","3","-30","-2","1","1"
"1379","0","1","-28","-2","1","1"
"1379","0","1","-28","2","-1","0"
"1391","0","1","-28","2","-1","0"
"1391","0","1","-28","0","-2","1"
"1399","-1","2","-30","0","-2","1"
"1399","-1","2","-30","1","1","1"
"1407","-2","2","-28","1","1","1"
"1411","-2","2","-28","0","0","1"
"1420","-2","2","-28","0","0","1"
"1420","-2","2","-28","2","0","-1"
"1428","-2","1","-28","2","0","-1"
"1432","-2","1","-28","-3","0","1"
"1440","-1","2","-31","-3","0","1"
"1441","-1","2","-31","1","1","0"
"1448","-2","2","-29","1","1","0"
"1449","-2","2","-29","-1","1","-2"
"1461","-1","1","-29","-1","1","-2"
"1461","-1","1","-29","-1","0","0"
"1469","-2","1","-32","-1","0","0"
"1469","-2","1","-32","1","-1","1"
"1481","-2","3","-26","1","-1","1"
"1481","-2","3","-26","0","-3","1"
"1489","-2","2","-30","0","-3","1"
"1490","-2","2","-30","2","-3","1"
"1497","-1","1","-29","2","-3","1"
"1502","-1","1","-29","0","-1","-1"
"1510","0","1","-27","0","-1","-1"
"1510","0","1","-27","-2","1","-1"
"1518","-1","1","-30","-2","1","-1"
"1522","-1","1","-30","0","-2","1"
"1530","-1","1","-26","0","-2","1"
"1530","-1","1","-26","-1","-1","2"
"1538","0","3","-29","-1","-1","2"
"1539","0","3","-29","-1","-3","2"
"1551","0","0","-27","-1","-3","2"
"1551","0","0","-27","0","-1","2"
"1559","-2","1","-30","0","-1","2"
"1559","-2","1","-30","-1","0","-2"
"1567","-2","1","-30","-1","0","-2"
"1571","-2","1","-30","0","0","3"
"1579","0","3","-30","0","0","3"
"1580","0","3","-30","0","0","1"
"1588","-2","1","-29","0","0","1"
"1592","-2","1","-29","0","-1","0"
"1600","-2","1","-28","0","-1","0"
"1600","-2","1","-28","-1","2","3"
"1608","-3","2","-28","-1","2","3"
"1608","-3","2","-28","3","0","0"
"1620","0","-1","-28","3","0","0"
"1621","0","-1","-28","-1","0","-1"
"1629","-1","-1","-31","-1","0","-1"
"1629","-1","-1","-31","1","-3","0"
"1641","-2","3","-28","1","-3","0"
"1641","-2","3","-28","0","-2","2"
"1649","-1","2","-27","0","-2","2"
"1649","-1","2","-27","0","2","0"
"1657","0","0","-30","0","2","0"
"1661","0","0","-30","0","1","-3"
"1670","0","1","-31","0","1","-3"
"1670","0","1","-31","0","2","-1"
"1678","-2","1","-30","0","2","-1"
"1682","-2","1","-30","0","1","0"
"1690","-2","2","-27","0","1","0"
"1690","-2","2","-27","-1","1","-3"
"1698","-2","2","-29","-1","1","-3"
"1698","-2","2","-29","-4","5","2"
