Timer,X,Y,Z
"992","3884","4480","4818"
"992","3884","4480","4818"
"992","3884","4480","4818"
"992","3884","4480","4818"
"992","3884","4480","4818"
"1053","3859","4523","4776"
"1053","3859","4523","4776"
"1053","3859","4523","4776"
"1053","3859","4523","4776"
"1053","3859","4523","4776"
"1053","3859","4523","4776"
"1110","3894","4491","4824"
"1110","3894","4491","4824"
"1110","3894","4491","4824"
"1110","3894","4491","4824"
"1110","3894","4491","4824"
"1110","3894","4491","4824"
"1172","3885","4514","4776"
"1172","3885","4514","4776"
"1172","3885","4514","4776"
"1172","3885","4514","4776"
"1172","3885","4514","4776"
"1172","3885","4514","4776"
"1233","3896","4477","4754"
"1233","3896","4477","4754"
"1233","3896","4477","4754"
"1233","3896","4477","4754"
"1233","3896","4477","4754"
"1233","3896","4477","4754"
"1291","3902","4499","4714"
"1291","3902","4499","4714"
"1291","3902","4499","4714"
"1291","3902","4499","4714"
"1291","3902","4499","4714"
"1291","3902","4499","4714"
"1352","3853","4508","4747"
"1352","3853","4508","4747"
"1352","3853","4508","4747"
"1352","3853","4508","4747"
"1352","3853","4508","4747"
"1352","3853","4508","4747"
"1413","3904","4508","4779"
"1413","3904","4508","4779"
"1413","3904","4508","4779"
"1413","3904","4508","4779"
"1413","3904","4508","4779"
"1413","3904","4508","4779"
"1413","3904","4508","4779"
"1475","4257","5111","-653"
"1475","4257","5111","-653"
"1475","4257","5111","-653"
"1475","4257","5111","-653"
"1475","4257","5111","-653"
"1475","4257","5111","-653"
"1536","3908","4481","4676"
"1536","3908","4481","4676"
"1536","3908","4481","4676"
"1536","3908","4481","4676"
"1536","3908","4481","4676"
"1594","4082","4518","5001"
"1594","4082","4518","5001"
"1594","4082","4518","5001"
"1594","4082","4518","5001"
"1594","4082","4518","5001"
"1594","4082","4518","5001"
"1594","4082","4518","5001"
"1655","4153","4565","5070"
"1655","4153","4565","5070"
"1655","4153","4565","5070"
"1655","4153","4565","5070"
"1655","4153","4565","5070"
"1655","4153","4565","5070"
"1716","3892","4892","-109"
"1716","3892","4892","-109"
"1716","3892","4892","-109"
"1716","3892","4892","-109"
