Timer,X,Y,Z
"970","8832","7672","86"
"970","8832","7672","86"
"970","8832","7672","86"
"970","8832","7672","86"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1023","8782","7648","77"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1076","8732","7601","67"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1133","8741","7601","53"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1187","8794","7628","32"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1244","8751","7530","151"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1297","8699","7597","61"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1354","8826","7647","91"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1408","8767","7621","68"
"1461","8773","7643","56"
"1461","8773","7643","56"
"1461","8773","7643","56"
